x,acc_throughput
190,127.77777777777777
191,139.64285714285714
192,292.579365079365
193,138.88888888888889
194,141.86507936507937
195,131.11111111111111
196,129.62962962962962
197,127.77777777777777
198,127.77777777777777
199,127.77777777777777
200,127.77777777777777
201,131.11111111111111
202,127.77777777777777
203,130.95238095238093
204,127.77777777777777
205,152.7777777777778
206,147.2222222222222
207,155.55555555555554
208,127.77777777777777
209,139.64285714285714
210,127.77777777777777
211,129.76190476190476
212,147.2222222222222
213,127.77777777777777
214,132.40740740740742
215,131.15079365079364
216,127.77777777777777
217,127.77777777777777
218,127.77777777777777
219,141.11111111111111
220,140.27777777777777
221,152.7777777777778
222,160.37037037037035
223,134.65608465608463
224,154.7619047619048
225,142.12962962962962
226,232.77777777777774
227,145.83333333333334
228,127.77777777777777
229,130.95238095238093
230,127.77777777777777
231,127.77777777777777
232,134.484126984127
233,135.1851851851852
234,127.77777777777777
235,139.44444444444443
236,127.77777777777777
237,135.1851851851852
238,149.73544973544972
239,136.11111111111111
240,138.35978835978835
241,127.77777777777777
242,153.57142857142858
243,136.57407407407405
244,147.6851851851852
245,147.53968253968253
246,165.83333333333331
247,127.77777777777777
248,127.77777777777777
249,135.74074074074073
250,138.88888888888889
251,141.66666666666666
252,127.77777777777777
253,138.61111111111111
254,135.64814814814815
255,127.77777777777777
256,134.25925925925924
257,130.95238095238093
258,137.5
259,152.2222222222222
260,137.5
261,127.77777777777777
262,127.77777777777777
263,167.96296296296296
264,127.77777777777777
265,127.77777777777777
266,127.77777777777777
267,130.35714285714286
268,130.55555555555554
269,137.5
270,231.66666666666666
271,131.11111111111111
272,127.77777777777777
273,127.77777777777777
274,170.83333333333334
275,152.7777777777778
276,129.56349206349205
277,132.53968253968253
278,127.77777777777777
279,139.35185185185185
280,138.88888888888889
281,151.7857142857143
282,127.77777777777777
283,129.76190476190476
284,134.25925925925924
285,132.40740740740742
286,127.77777777777777
287,142.65873015873015
288,129.16666666666666
289,127.77777777777777
290,141.94444444444446
291,135.515873015873
292,127.77777777777777
293,138.75661375661375
294,140.27777777777777
295,129.76190476190476
296,131.34920634920636
297,131.48148148148147
298,160.55555555555557
299,148.61111111111111
300,129.62962962962962
301,131.0185185185185
302,146.38888888888889
303,127.77777777777777
304,132.40740740740742
305,134.39153439153438
306,159.16666666666666
307,127.77777777777777
308,136.11111111111111
309,138.5185185185185
310,127.77777777777777
311,127.77777777777777
312,136.9047619047619
313,127.77777777777777
314,172.14285714285714
315,131.11111111111111
316,141.94444444444446
317,161.57407407407405
318,141.11111111111111
319,127.77777777777777
320,142.7777777777778
321,136.11111111111111
322,127.77777777777777
323,127.77777777777777
324,142.7777777777778
325,127.77777777777777
326,157.4074074074074
327,127.77777777777777
328,127.77777777777777
329,127.77777777777777
330,141.2037037037037
331,127.77777777777777
332,155.09259259259258
333,140.67460317460316
334,152.7777777777778
335,127.77777777777777
336,127.77777777777777
337,164.35185185185182
338,129.76190476190476
339,155.09259259259258
340,131.34920634920636
341,179.484126984127
342,127.77777777777777
343,149.44444444444446
344,133.61111111111111
345,150.0
346,140.0793650793651
347,152.7777777777778
348,168.05555555555557
349,158.05555555555557
350,157.49999999999997
351,127.77777777777777
352,200.0
353,163.61111111111111
354,127.77777777777777
355,127.77777777777777
356,131.15079365079364
357,118.05555555555554
358,127.77777777777777
359,138.88888888888889
360,127.77777777777777
361,128.57142857142856
362,130.95238095238093
363,152.7777777777778
364,165.0
365,127.77777777777777
366,127.77777777777777
367,150.0
368,132.40740740740742
369,138.42592592592595
370,127.77777777777777
371,136.11111111111111
372,127.77777777777777
373,127.77777777777777
374,127.77777777777777
375,138.61111111111111
376,127.77777777777777
377,127.77777777777777
378,131.0185185185185
379,127.77777777777777
380,127.77777777777777
381,143.65079365079364
382,150.0
383,127.77777777777777
384,161.11111111111111
385,142.6851851851852
386,142.7777777777778
387,167.52645502645507
388,143.05555555555554
389,127.77777777777777
390,147.77777777777774
391,166.66666666666669
392,140.87301587301587
393,128.57142857142856
394,127.77777777777777
395,127.77777777777777
396,154.16666666666666
397,127.77777777777777
398,133.33333333333334
399,131.34920634920636
400,152.7777777777778
401,129.36507936507937
402,134.32539682539684
403,129.62962962962962
404,130.95238095238093
405,132.53968253968253
406,127.77777777777777
407,127.77777777777777
408,135.1851851851852
409,152.77777777777777
410,136.11111111111111
411,127.77777777777777
412,148.2142857142857
413,141.94444444444446
414,127.77777777777777
415,145.37037037037035
416,135.38359788359787
417,154.2989417989418
418,127.77777777777777
419,142.7777777777778
420,127.77777777777777
421,138.61111111111111
422,127.77777777777777
423,135.1851851851852
424,127.77777777777777
425,131.34920634920636
426,135.1851851851852
427,128.57142857142856
428,127.77777777777777
429,141.94444444444446
430,137.36772486772486
431,127.77777777777777
432,130.95238095238093
433,127.77777777777777
434,135.9126984126984
435,139.44444444444443
436,127.77777777777777
437,135.64814814814815
438,138.61111111111111
439,127.77777777777777
440,127.77777777777777
441,141.11111111111111
442,163.4259259259259
443,135.27777777777777
444,135.1851851851852
445,127.77777777777777
446,172.35449735449734
447,147.77777777777774
448,127.77777777777777
449,127.77777777777777
450,127.77777777777777
451,186.17724867724868
452,139.44444444444443
453,127.77777777777777
454,205.55555555555554
455,159.07407407407405
456,136.11111111111111
457,127.77777777777777
458,181.81216931216932
459,144.16666666666666
460,127.77777777777777
461,151.38888888888889
462,143.015873015873
463,140.27777777777777
464,131.15079365079364
465,129.56349206349205
466,127.77777777777777
467,127.77777777777777
468,127.77777777777777
469,139.28571428571428
470,127.77777777777777
471,127.77777777777777
472,169.44444444444443
473,133.61111111111111
474,127.77777777777777
475,131.15079365079364
476,127.77777777777777
477,127.77777777777777
478,127.77777777777777
479,127.77777777777777
480,129.16666666666666
481,127.77777777777777
482,150.0
483,131.94444444444446
484,130.95238095238093
485,127.77777777777777
486,127.77777777777777
487,127.77777777777777
488,136.11111111111111
489,138.61111111111111
490,130.95238095238093
491,127.77777777777777
492,131.94444444444443
493,144.9074074074074
494,127.77777777777777
495,162.77777777777777
496,127.77777777777777
497,127.77777777777777
498,132.53968253968253
499,127.77777777777777
500,130.35714285714286
501,127.77777777777777
502,127.77777777777777
503,141.66666666666666
504,127.77777777777777
505,129.36507936507937
506,130.95238095238093
507,127.77777777777777
508,127.77777777777777
509,129.76190476190476
510,127.77777777777777
511,141.94444444444446
512,151.38888888888889
513,127.77777777777777
514,127.77777777777777
515,140.93915343915344
516,137.5
517,151.85185185185188
518,160.64814814814815
519,130.35714285714286
520,130.95238095238093
521,154.7222222222222
522,156.66666666666666
523,127.77777777777777
524,169.7089947089947
525,127.77777777777777
526,131.94444444444443
527,297.42063492063494
528,138.61111111111111
529,162.8968253968254
530,151.38888888888889
531,130.55555555555554
532,139.35185185185182
533,127.77777777777777
534,127.77777777777777
535,138.88888888888889
536,127.77777777777777
537,127.77777777777777
