x,acc_delay
1481,14.35
1482,14.35
1483,14.0
1484,13.05
1485,14.4
1486,13.600000000000001
1487,14.35
1488,14.35
1489,15.35
1490,15.7
1491,16.4
1492,14.35
1493,15.1
1494,15.1
1495,14.65
1496,14.85
1497,13.85
1498,12.05
1499,14.35
1500,15.15
1501,15.75
1502,16.3
1503,15.85
1504,14.15
1505,15.0
1506,15.35
1507,15.05
1508,13.75
1509,14.85
1510,15.65
1511,14.45
1512,18.5
1513,14.35
1514,9.45
1515,13.15
1516,12.0
1517,14.25
1518,14.35
1519,16.45
1520,14.35
1521,12.85
1522,14.35
1523,14.35
1524,13.7
1525,14.35
1526,15.2
1527,12.5
1528,13.35
1529,15.5
1530,17.65
1531,12.85
1532,12.65
1533,14.35
1534,14.35
1535,17.3
1536,16.3
1537,13.299999999999999
1538,16.3
1539,13.299999999999999
1540,15.5
1541,16.55
1542,15.950000000000001
1543,14.799999999999999
1544,13.299999999999999
1545,16.3
1546,16.8
1547,15.0
1548,18.4
1549,16.55
1550,19.25
1551,12.9
1552,14.35
1553,16.55
1554,16.55
1555,15.450000000000001
1556,17.45
1557,12.9
1558,16.200000000000003
1559,16.4
1560,14.399999999999999
1561,15.350000000000001
1562,14.0
1563,17.15
1564,16.55
1565,16.8
1566,16.9
1567,18.5
1568,16.3
1569,15.899999999999999
1570,16.3
1571,17.5
1572,18.0
1573,17.0
1574,18.25
1575,12.25
1576,16.3
1577,16.3
1578,16.3
1579,19.15
1580,16.8
1581,17.549999999999997
1582,16.3
1583,12.7
1584,16.4
1585,17.5
1586,15.2
1587,14.8
1588,17.2
1589,18.35
1590,16.7
1591,15.6
1592,17.15
1593,15.3
1594,16.3
1595,16.3
1596,16.3
1597,15.8
1598,16.3
1599,16.05
1600,15.5
1601,16.3
1602,17.5
1603,15.15
1604,12.9
1605,17.3
1606,14.8
1607,14.85
1608,16.3
1609,15.75
1610,16.950000000000003
1611,15.8
1612,18.5
1613,18.3
1614,14.15
1615,16.3
1616,16.3
1617,15.05
1618,16.3
1619,16.75
1620,17.25
1621,17.5
1622,14.35
1623,13.7
1624,16.3
1625,17.75
