x,acc_throughput
144,146.66666666666666
145,146.66666666666666
146,146.66666666666666
147,133.33333333333334
148,160.0
149,140.0
150,133.33333333333334
151,126.66666666666667
152,143.33333333333334
153,146.66666666666666
154,130.0
155,146.66666666666666
156,123.33333333333333
157,136.66666666666666
158,146.66666666666666
159,140.0
160,133.33333333333334
161,113.33333333333333
162,160.0
163,146.66666666666666
164,106.66666666666667
165,160.0
166,146.66666666666666
167,136.66666666666666
168,143.33333333333334
169,136.66666666666666
170,133.33333333333334
171,126.66666666666667
172,140.0
173,140.0
174,146.66666666666666
175,146.66666666666666
176,143.33333333333334
177,123.33333333333333
178,143.33333333333334
179,136.66666666666666
180,146.66666666666666
181,130.0
182,146.66666666666666
183,146.66666666666666
184,146.66666666666666
185,123.33333333333333
186,136.66666666666666
187,140.0
188,146.66666666666666
189,146.66666666666666
190,146.66666666666666
191,133.33333333333334
192,130.0
193,146.66666666666666
194,140.0
195,136.66666666666666
196,126.66666666666667
197,173.33333333333334
198,146.66666666666666
199,146.66666666666666
200,133.33333333333334
201,136.66666666666666
202,146.66666666666666
203,146.66666666666666
204,146.66666666666666
205,146.66666666666666
206,136.66666666666666
207,136.66666666666666
208,146.66666666666666
209,143.33333333333334
210,146.66666666666666
211,143.33333333333334
212,136.66666666666666
213,146.66666666666666
214,140.0
215,143.33333333333334
216,146.66666666666666
217,146.66666666666666
218,146.66666666666666
219,136.66666666666666
220,130.0
221,146.66666666666666
222,123.33333333333333
223,136.66666666666666
224,143.33333333333334
225,123.33333333333333
226,146.66666666666666
227,133.33333333333334
228,146.66666666666666
229,143.33333333333334
230,146.66666666666666
231,146.66666666666666
232,126.66666666666667
233,140.0
234,143.33333333333334
235,146.66666666666666
236,146.66666666666666
237,140.0
238,130.0
239,136.66666666666666
240,163.33333333333334
241,146.66666666666666
242,143.33333333333334
243,133.33333333333334
244,126.66666666666667
245,133.33333333333334
246,150.0
247,146.66666666666666
248,146.66666666666666
249,116.66666666666667
250,146.66666666666666
251,160.0
252,146.66666666666666
253,136.66666666666666
254,140.0
255,146.66666666666666
256,166.66666666666666
257,146.66666666666666
258,133.33333333333334
259,133.33333333333334
260,133.33333333333334
261,146.66666666666666
262,173.33333333333334
263,133.33333333333334
264,146.66666666666666
265,146.66666666666666
266,146.66666666666666
267,143.33333333333334
268,146.66666666666666
269,133.33333333333334
270,123.33333333333333
271,150.0
272,146.66666666666666
273,146.66666666666666
274,133.33333333333334
275,146.66666666666666
276,146.66666666666666
277,126.66666666666667
278,146.66666666666666
279,133.33333333333334
280,133.33333333333334
281,133.33333333333334
282,146.66666666666666
283,143.33333333333334
284,146.66666666666666
285,140.0
286,146.66666666666666
287,126.66666666666667
288,170.0
289,146.66666666666666
290,123.33333333333333
291,130.0
292,146.66666666666666
293,143.33333333333334
294,146.66666666666666
295,143.33333333333334
296,140.0
297,140.0
298,136.66666666666666
299,126.66666666666667
300,140.0
301,140.0
302,140.0
303,146.66666666666666
304,140.0
305,136.66666666666666
306,133.33333333333334
307,146.66666666666666
308,130.0
309,130.0
310,146.66666666666666
311,146.66666666666666
312,136.66666666666666
313,146.66666666666666
314,146.66666666666666
315,136.66666666666666
316,136.66666666666666
317,146.66666666666666
318,133.33333333333334
319,146.66666666666666
320,146.66666666666666
321,136.66666666666666
322,146.66666666666666
323,146.66666666666666
324,146.66666666666666
325,136.66666666666666
326,126.66666666666667
327,146.66666666666666
328,146.66666666666666
329,133.33333333333334
330,126.66666666666667
331,146.66666666666666
332,126.66666666666667
333,130.0
334,146.66666666666666
335,146.66666666666666
336,146.66666666666666
337,123.33333333333333
338,136.66666666666666
339,130.0
340,146.66666666666666
341,126.66666666666667
342,133.33333333333334
343,126.66666666666667
344,136.66666666666666
345,106.66666666666667
346,140.0
347,173.33333333333334
348,120.0
349,110.0
350,133.33333333333334
351,146.66666666666666
352,120.0
353,136.66666666666666
354,146.66666666666666
355,146.66666666666666
356,143.33333333333334
357,130.0
358,146.66666666666666
359,133.33333333333334
360,146.66666666666666
361,143.33333333333334
362,143.33333333333334
363,146.66666666666666
364,133.33333333333334
365,140.0
366,146.66666666666666
367,133.33333333333334
368,140.0
369,140.0
370,146.66666666666666
371,136.66666666666666
372,143.33333333333334
373,146.66666666666666
374,146.66666666666666
375,136.66666666666666
376,146.66666666666666
377,136.66666666666666
378,140.0
379,146.66666666666666
380,146.66666666666666
381,143.33333333333334
382,146.66666666666666
383,146.66666666666666
384,143.33333333333334
385,120.0
386,133.33333333333334
387,126.66666666666667
388,133.33333333333334
389,146.66666666666666
390,146.66666666666666
391,130.0
392,136.66666666666666
393,143.33333333333334
394,146.66666666666666
395,136.66666666666666
396,133.33333333333334
397,146.66666666666666
398,123.33333333333333
399,143.33333333333334
400,143.33333333333334
401,143.33333333333334
402,143.33333333333334
403,140.0
404,136.66666666666666
405,146.66666666666666
406,136.66666666666666
407,146.66666666666666
408,146.66666666666666
409,133.33333333333334
410,140.0
411,146.66666666666666
412,133.33333333333334
413,136.66666666666666
414,160.0
415,123.33333333333333
416,136.66666666666666
417,133.33333333333334
418,146.66666666666666
419,146.66666666666666
420,146.66666666666666
421,136.66666666666666
422,146.66666666666666
423,140.0
424,146.66666666666666
425,146.66666666666666
426,146.66666666666666
427,143.33333333333334
428,146.66666666666666
429,136.66666666666666
430,153.33333333333334
431,146.66666666666666
432,146.66666666666666
433,146.66666666666666
434,143.33333333333334
435,146.66666666666666
436,146.66666666666666
437,140.0
438,136.66666666666666
439,146.66666666666666
440,146.66666666666666
441,146.66666666666666
442,120.0
443,160.0
444,146.66666666666666
445,143.33333333333334
446,143.33333333333334
447,146.66666666666666
448,146.66666666666666
449,146.66666666666666
450,146.66666666666666
451,116.66666666666667
452,146.66666666666666
453,146.66666666666666
454,140.0
455,130.0
456,130.0
457,146.66666666666666
458,120.0
459,123.33333333333333
460,146.66666666666666
461,130.0
462,156.66666666666666
463,146.66666666666666
464,143.33333333333334
465,143.33333333333334
466,146.66666666666666
467,146.66666666666666
468,146.66666666666666
469,146.66666666666666
470,146.66666666666666
471,146.66666666666666
472,136.66666666666666
473,136.66666666666666
474,146.66666666666666
475,143.33333333333334
476,146.66666666666666
477,143.33333333333334
478,146.66666666666666
479,146.66666666666666
480,140.0
481,146.66666666666666
482,146.66666666666666
483,140.0
484,146.66666666666666
485,146.66666666666666
486,143.33333333333334
487,146.66666666666666
488,133.33333333333334
489,136.66666666666666
490,143.33333333333334
491,146.66666666666666
492,146.66666666666666
493,140.0
494,146.66666666666666
495,136.66666666666666
496,133.33333333333334
497,140.0
498,146.66666666666666
499,146.66666666666666
500,143.33333333333334
501,146.66666666666666
502,146.66666666666666
503,120.0
504,133.33333333333334
505,143.33333333333334
506,143.33333333333334
507,146.66666666666666
508,146.66666666666666
509,130.0
510,146.66666666666666
511,136.66666666666666
512,150.0
513,160.0
514,146.66666666666666
515,130.0
516,133.33333333333334
517,140.0
518,123.33333333333333
519,143.33333333333334
520,143.33333333333334
521,123.33333333333333
522,136.66666666666666
523,146.66666666666666
524,146.66666666666666
525,146.66666666666666
526,136.66666666666666
527,133.33333333333334
528,136.66666666666666
529,123.33333333333333
530,133.33333333333334
531,153.33333333333334
532,126.66666666666667
533,146.66666666666666
534,146.66666666666666
535,146.66666666666666
536,143.33333333333334
537,146.66666666666666
538,146.66666666666666
539,136.66666666666666
540,136.66666666666666
541,130.0
542,133.33333333333334
543,130.0
544,146.66666666666666
545,136.66666666666666
546,133.33333333333334
547,123.33333333333333
548,136.66666666666666
549,146.66666666666666
550,140.0
551,133.33333333333334
552,153.33333333333334
553,146.66666666666666
