x,episode_rewards,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
85,743.0,3.5,4.1,3.0,4.4,5.3,4.7,3.9,5.3,4.4,3.9,5.0,4.0,3.5,3.4,4.5,3.3,3.2,4.9
86,700.0,4.5,3.4,4.3,4.6,3.5,4.3,3.1,3.8,3.5,5.5,3.8,3.8,3.9,3.5,3.8,4.0,2.7,4.0
87,719.0,3.4,4.1,4.0,3.9,3.2,3.5,3.9,4.2,3.8,4.4,3.2,4.5,4.7,4.6,3.6,4.0,3.8,5.1
88,747.0,4.6,4.2,4.0,4.8,4.1,3.8,3.7,3.7,4.3,4.3,4.3,4.0,3.8,4.9,4.3,3.3,4.3,4.3
89,722.0,4.6,4.6,2.0,4.6,4.5,4.3,3.3,4.3,4.9,3.8,3.7,3.4,4.3,4.8,4.1,3.7,3.6,3.7
90,721.0,4.8,3.3,5.0,4.3,4.3,3.6,3.2,4.2,3.0,3.3,3.9,3.8,3.8,4.0,4.9,3.9,4.4,4.4
91,738.0,3.5,3.9,3.5,4.9,3.9,4.3,3.7,4.0,4.0,3.6,4.3,3.4,4.1,4.0,5.5,4.0,4.9,4.3
92,725.0,4.6,3.6,4.8,4.5,4.0,5.0,3.3,5.2,4.1,3.8,3.8,4.4,3.4,4.1,4.0,3.7,3.6,2.6
93,723.0,4.3,2.8,4.6,4.1,4.1,4.4,3.5,4.2,4.0,2.9,4.2,4.2,3.8,4.3,4.3,4.6,4.6,3.4
94,773.0,4.8,4.1,4.4,4.3,4.4,4.3,5.1,4.4,4.0,4.9,4.4,3.6,4.1,3.6,4.3,4.1,4.4,4.1
95,722.0,4.8,4.3,3.4,3.7,4.0,4.2,2.9,4.8,4.5,3.4,4.6,4.1,4.0,3.4,4.2,4.0,4.0,3.9
96,745.0,4.0,4.3,4.2,4.3,3.5,3.6,3.8,4.0,4.2,4.0,3.9,4.4,3.7,4.5,4.6,4.9,4.4,4.2
97,742.0,4.7,4.0,4.1,4.1,3.1,4.0,5.4,4.2,4.1,4.0,4.1,4.6,4.5,3.7,3.7,3.8,3.9,4.2
